Назва міста1,Назва міста2,Відстань (км)
Київ,Харків,480
Харків,Одеса,800
Одеса,Львів,600
Львів,Дніпро,950
Дніпро,Запоріжжя,85
Запоріжжя,Миколаїв,450
Миколаїв,Суми,540
Суми,Полтава,150
Полтава,Луганськ,320
Луганськ,Донецьк,150
Донецьк,Луцьк,1030
Луцьк,Тернопіль,190
Тернопіль,Хмельницький,110
Хмельницький,Чернігів,320
Чернігів,Житомир,210
Житомир,Ужгород,700
Ужгород,Івано-Франківськ,250
Івано-Франківськ,Чернівці,140
Чернівці,Рівне,300
Рівне,Кропивницький,450
Кропивницький,Вінниця,290
Вінниця,Черкаси,200
Черкаси,Кременчук,140
Кременчук,Кам'янець-Подільський,400
Кам'янець-Подільський,Бердянськ,600
Бердянськ,Маріуполь,90
Маріуполь,Сєвєродонецьк,160
Сєвєродонецьк,Біла Церква,500
Біла Церква,Берегове,800
Берегове,Ковель,300
Ковель,Хуст,350
Хуст,Бровари,670
Бровари,Шепетівка,280
Шепетівка,Червоноград,230
Червоноград,Ковель,150
Київ,Ужгород,680
Одеса,Харків,720
Львів,Івано-Франківськ,130
Чернівці,Суми,750
Житомир,Київ,140
Запоріжжя,Херсон,300
Херсон,Миколаїв,75
Суми,Харків,190
Миколаїв,Дніпро,270
Київ,Чернігів,150
Івано-Франківськ,Тернопіль,120
Вінниця,Львів,370
Ужгород,Одеса,950
Кривий Ріг,Черкаси,400
Черкаси,Суми,450
Суми,Чернівці,200
Чернівці,Чернігів,350
Чернігів,Біла Церква,270
Біла Церква,Кременчук,150
Кременчук,Умань,350
Умань,Мелітополь,200
Мелітополь,Краматорськ,230
Краматорськ,Миргород,150
Миргород,Фастів,200
Фастів,Лозова,120
Лозова,Бахмут,180
Бахмут,Костянтинівка,100
Костянтинівка,Краматорськ,80
Краматорськ,Славутич,140
Славутич,Олександрія,220
Олександрія,Острог,200
Острог,Бережани,100
Бережани,Калуш,180
Калуш,Галич,90
Галич,Новоград-Волинський,160
Новоград-Волинський,Бердичів,130
Бердичів,Токмак,300
Токмак,Кіцмань,240
Кіцмань,Бахмач,210
Бахмач,Рогатин,170
Рогатин,Збараж,100
Збараж,Богодухів,250
Богодухів,Радивилів,200
Радивилів,Тростянець,170
Тростянець,Могилів-Подільський,140
Могилів-Подільський,Пирятин,300
Пирятин,Прилуки,120
Прилуки,Лозова,150
Лозова,Красноград,100
Красноград,Хорол,80
Хорол,Кременчук,60
Кременчук,Ромни,150
Ромни,Болехів,400
Болехів,Бориспіль,120
Бориспіль,Боярка,50
Боярка,Золотоноша,180
Золотоноша,Сокаль,300
Сокаль,Хуст,320
Хуст,Рахів,120
Рахів,Виноградів,70
Виноградів,Тячів,60
Тячів,Берегове,100
Борислав,Дрогобич,10
Дрогобич,Трускавець,7
Трускавець,Стрий,30
Стрий,Жидачів,40
Жидачів,Миколаїв,55
Миколаїв,Жовква,110
Жовква,Броди,75
Броди,Золочів,30
Золочів,Перемишляни,25
Перемишляни,Пустомити,35
Пустомити,Бібрка,30
Бібрка,Глиняни,18
Глиняни,Золочів,30
Броди,Сокаль,45
Сокаль,Червоноград,8
Червоноград,Великі Мости,25
Великі Мости,Городок,50
Городок,Новояворівськ,25
Новояворівськ,Яворів,5
Яворів,Старий Самбір,40
Старий Самбір,Самбір,12
Самбір,Борислав,20
Борислав,Трускавець,8
Стрий,Долина,30
Долина,Калуш,20
Калуш,Івано-Франківськ,30
Івано-Франківськ,Тисмениця,5
Тисмениця,Коломия,20
Коломия,Косів,15
Косів,Верховина,10
Верховина,Яремче,25
Яремче,Надвірна,20
Надвірна,Богородчани,10
Богородчани,Бурштин,15
Бурштин,Галич,10
Галич,Рогатин,25
Рогатин,Бібрка,30
Бібрка,Перемишляни,20
Перемишляни,Жидачів,35
Жидачів,Миколаїв,50
Миколаїв,Новий Розділ,10
Новий Розділ,Сміла,190
Сміла,Черкаси,20
Черкаси,Канів,30
Канів,Чигирин,40
Чигирин,Звенигородка,35
Звенигородка,Шпола,25
Шпола,Золотоноша,60
Мукачево,Бучач,250
Бучач,Коростень,400
Коростень,Світловодськ,350
Світловодськ,Очаків,300
Очаків,Мукачево,550

